TestCaseID,Module,Scenario,Preconditions,Steps,ExpectedOutcome,Priority,Type
AUTH-001,Authentication,Valid admin login,"App is reachable; valid admin credentials available","Open login page; Enter valid admin email and password; Click Sign In","Login succeeds; Dashboard opens; current user shown in header",High,Positive
AUTH-002,Authentication,Invalid login blocked,"App is reachable","Open login page; Enter invalid credentials; Click Sign In","Error message shown; user remains on login page; no protected data loaded",High,Negative
AUTH-003,Authentication,First user bootstrap,"Environment has no existing users","Open first-user setup; Enter required details; Submit","First admin user created; success message shown; created user can sign in",High,Positive
AUTH-004,Authentication,Password policy validation,"On first-user setup or reset form","Enter password shorter than policy; Submit","Validation error shown; request is not submitted",High,Negative
AUTH-005,Session,Idle timeout logout,"User logged in","Stay inactive beyond idle timeout","Session expires; user is redirected to login",High,Positive
AUTH-006,Session,Activity keeps session alive,"User logged in","Interact periodically (click/scroll/keypress)","Session remains active; no unexpected logout",High,Positive
CUST-001,Customization,Update platform name and color,"Admin user logged in","Open Customize; change Platform Name and Primary Color; Save","Header/login branding updates; CTA color updates; values persist after refresh",Medium,Positive
CUST-002,Customization,Update environment label and login subtitle,"Admin user logged in","Open Customize; edit Environment Label and Login Subtitle; Save; Logout","Login page shows updated subtitle and environment label",Medium,Positive
CUST-003,Customization,Invalid color fallback,"Admin user logged in","Open Customize; enter invalid color; Save","System normalizes/falls back to valid color; UI does not break",Medium,Negative
INV-HR-001,Inventory-HR,Upload HR identities,"Admin user logged in; HR CSV available","Inventory > Identity Inventory; Upload 01_hr_users_inventory.csv","Users grid populates; counts/rows align with input",High,Positive
INV-HR-002,Inventory-HR,Single-user role update,"Users loaded","Change one user's role via row dropdown","Role update succeeds; persists after refresh",High,Positive
INV-HR-003,Inventory-HR,Bulk role assignment modal flow,"Users loaded","Select multiple users; Click Set Role; Select role in modal; Click Apply Role","Modal appears only after click; selected users updated; selection cleared",High,Positive
INV-HR-004,Inventory-HR,Bulk role guard with zero selection,"Users loaded","Do not select users; inspect/click Set Role","Action blocked or disabled; clear guidance shown",High,Negative
INV-HR-005,Inventory-HR,Reset password flow,"Users loaded","Click Reset Password for a user; Copy temp password; Close modal","Temporary password displayed; copy works; modal closes",Medium,Positive
INV-APP-001,Inventory-Apps,Bulk app onboarding upload,"Applications CSV available","Inventory > App Configurations; Upload 02_application_onboarding_bulk.csv","Applications created and listed with owner mappings",High,Positive
